categroy_id,categroy_name,parent_id
028b5c6496b848c4958cec4f98c32f84,"Ski & Snowboard Tuning Tools",84c3206a28bb4334ad240df4886efa1b
0297569a38fd4dd2af9eb5ecc7cb929d,"Climbing Apparel & Accessories",25963ede86a14773885b4f491b25adcb
02aafb97f0554297bdb2b6784711e2f4,"Throwing Hammers",ee3ace6bb25747deb4c62f1e7b1d829d
02b4efc793c84eca8b34a36d732336d6,"Hair Styling Tool Sets",da3499096a3b4813826bedd22b88918c
02c2ddcc16384d8fb0eb1bc4ba3b1021,"Laundry Combo Units",f81d72ac0efe4b3787aa1d920f599d07
02c7cd53513249d2ab044f38e0bd909b,Markers,a415cc94ff574343a206da6cde1cb13b
02da5b48db67484694410ff4ddd154ca,"Gobo Root",0f26d7bf23b84df4979915a4ca7810da
02e90cff48f94a41a554d18cfc50d00d,Onions,0f26d7bf23b84df4979915a4ca7810da
0315bb032a444d85ac728236d3ee0ad3,Vehicles,405a3eefda24458abb71bdf89b536f24
0320f4cfce0c40a6a2c5e76982cff7b7,"Hardware Torches",a79d5a82ba794f709c151993661d2624
0326a0d882d34fb381f319f13722cea1,Shapewear,ad0702d9fc2044b4842938f311ce300f
0329925d2959430b99ffbfbeee96e355,"Cricket Bats",b218a820d97b474394381bf9a468ab24
032d4b25caa444f584c1a8e829311d9c,"Coiled Spring Toys",444d7a8f6a964104a5b12731d19c59b6
0330341422c6491dac4d7a7deeeec9db,"Crafting Canvas",1115656a8c6c412e80703e51497dd952
0341b18780c7409d8f6e19a412a7e011,"Bicycle Tire Valve Caps",3a818162806745f0b28854e06a8ddf4f
0346730964c840d687538faddfb32864,"Paint Tool Accessories",62c1612a96734ff3a022ebf470d36e57
0350b696838946838396fed491ed70a5,Pears,c5d300814cbd40e28fc44ea9d2b20290
03616f03d6364ff98b320700d5a24cde,Quivers,562f818558b74a66b9aff4c832a47e83
036e0a6e2c9e45e39e54a7412bb0be05,"Heat-Shrink Tubing",46f0cf16e2d84a578f2396ed7a93cce7
036fdd6e271c48da8298cee205bc26ad,"Motorcycle Storage Covers",5809f0ffe3d2458da8414a0c16c5037c
03847dd1deeb406fbb7f6cea682786a3,"Coats & Jackets",c0cbb5e6f6384e92b2a49a8de8e15a06
038c64bbe6ea45eb864110d8cda99d90,"Ear Picks & Spoons",42189c33b27b4e77946ec2097b9fb03f
038ceba76f414a54a70a86c49e1b3d4c,"Paper Napkins",c673e402556d4623a0b176a30f74537c
03a12e212fbc4efa8a56d8c6a7f9f479,"Cricket Bat Accessories",b218a820d97b474394381bf9a468ab24
03d2ec5c96154f4b9a849d42ac373ed6,Millet,cf1378df2fce4222ba3fc7dc06d6256a
03da8cd9a6b14ed39b8d0141cc10048a,"Bath Additives",9c5e04b51d64482d861cecb61081235f
03e213cd36f242b2ae7fdaa3bdfe66c1,"Handheld Power Drills",cd574747876c411aa77c02414ef10b3c
03e2b6406d6349ed8d2d61d32b75a565,"Soccer Goal Accessories",c59a517e5bd14a9bb0b60ded7990a5e9
03f5da8021984944a05ceb077205c625,Guavas,c5d300814cbd40e28fc44ea9d2b20290
03f841c6ab1643c5849792252cb091ac,"Therapeutic Swings",6d01fa14b20f41d1acafb0322dddbf9f
0400682e1c2a4cfcb1eb6eb9faa53676,Compressors,a79d5a82ba794f709c151993661d2624
0405585e29824dbfa841036e6d17052d,"Lens Converters",f09765626333474193c2e716dbc887b0
040bc3501bbd4bbe83a5b1a1d97dbf18,"Audio & Video Receiver Accessories",caa426fdcd5c4b66a8873b0eea92f29d
044a84f2b9594b4187df9efbc893ab0d,"Baby Bouncers & Rockers",99c499fb35eb41ffbde7725c2698e88f
046faecc7d6e45748243196cdb6f64cd,"Livestock Feed",105e4def17ba4fabbbf59251c71512be
0475d055563f474eb801356e6cfa1465,"Ping Pong Nets & Posts",ad91047cf73348e882b1f65f06664174
0477216b4a5d4d4d980ec1887161dda9,"Tripod Collars & Mounts",4d5ee36ea95849b4b0f9983978e54c62
048283192a6d48118d2437afc58a8792,Nebulizers,594f238de0254ccb952d60f6e305e08b
04afcb531528488785fa71e0e834aeb3,"Radar Detectors",eac66d03cb994b698e61769fe134646d
04b78352bdad4cc385b5c92343822659,"Bicycle Saddles",3a818162806745f0b28854e06a8ddf4f
04d0562c607048a4a31844426f449c4f,"Paint Rollers",79213acbe48447389da0b1cbda2a5e07
050c1f4f47324f9c9577c5d65c58dc44,"Field Hockey & Lacrosse Masks & Goggles",de61521db45343f2b7913ea57c0ade2e
0510b498f0ab4fec973ef8a5325f0858,"Vehicle Power Steering Fluid",576cfe3d5ee14ffe881cbfb3a3e77428
05148d1045c341acacb5ab33e4dbe9c5,"Fishing Hooks",ec2c860d3cbf4c7988264967f23f85a9
051b1909bacd40f4b5a913ffd04e731c,"American Footballs",333969b723b446e78b83e01157610b88
0523130bacb849978f0516e61382c1ea,Jigsaws,53bb69d4071b4e538327481b1149011b
052fdaedb0944dec95e7872ef403e5ce,"Ping Pong Balls",ad91047cf73348e882b1f65f06664174
0549727b14434ec781062c7904494fd6,"Craft Machine Cases & Covers",73d903d059ec4e36a697b3c97cc36d62
054a53e771ed43c894d7256be41b4320,"Computer Inverter Boards",e7ef779ec37544ddaacd01298e068a69
054c0eb565e04a6082f1aabca91cd1b2,"Outdoor Ottomans",666891e2903c41c7a2d997d31ee7da79
054db383c239425a88d5b5e908d4e183,"Toy Gliders",573ae182db9641a99c7dccd4a54b1e86
056ad41d3cc34e5c923b83c3efc9dd65,Belts,ef30792f4b064beb9a1f2c2464c2f488
057a5f17b4e44c3c8fc9c77c8c9a52d4,"Dips & Spreads",bb6798e9aae746f0b14d8dca9d7c6a67
057caec5c18d486aa0c9d7e1717b1cf0,"Wash Bottles",7c329a0bd693430e953ce666e788cce0
05853332706b4476994ddb5af6f2c545,"Furniture Sets",09241892c5a049ea9585ee41269b2abc
0589633bbe8146229dbcd4eb84399aea,"Pet Medical Tape & Bandages",35d457cf921c4bec9aceb86c6c936418
059b64e2ef3d404bb69762dac9ad1ac9,Saxophones,6d007fa46c0e41b7848aebd85d9abd97
05c8505332314b6eb76b1bf2030e9bfb,"Windshield Repair Kits",80bf03960f9a47a4a7fc038c825b1bcc
05c963d4b84d4fa18a2b43f0837feab3,"Roulette Wheels & Sets",93fd07418ae744b2aa78770860c1d46d
05cb3c3e220a4b0b907b91165079b3ee,"Baseball & Softball Batting Gloves",cece328c1cd6469fa90f13d8632782c0
05d6e4dd26db4725ad8c0a557477d58f,"Golf Tees",21bf785c6de5420cabc106daba7d6e14
05e0d2531bee418789614e7c7bd21c26,"Fireplace Tools",f15a4e379dbe4798923182c761e9c202
05e518c4a10b47ec82a445f0ec39ca50,"Programmable Logic Controllers",aa30daa72150443fb642071281e89bb1
05e905ab0bc445438c020d51a019bd0f,"Keyboard Trays & Platforms",2a045451487548f48e9311ef407e10a5
05ed5674b2874941ac3ad752af3be5db,"Plumbing Fixtures",3b5187281711489c88953a571fc0bb47
05f01c8cdb4d487da100e84b7bb563bc,Sparklers,720906db88a94a23a8e73205d548c533
060733532be44c7b9ee4ac9c0e82033e,"Computer Utilities & Maintenance Software",518a291937c844da808980175bcf9dee
060d4a68617a43449b446712f7a235f7,"Medicine Cabinets",724a7f0abb3c4d70a645d34933e40da4
